[62.73040771 98.473526   67.2366333 ],0
[132.7040863  151.18534851 102.20654297],1
[132.18415833 155.25505066 120.32194519],2
[ 56.32455444 104.2742157   86.96429443],3
[102.4135437  135.58657837 101.81843567],4
[126.96020508 114.48486328  78.05172729],5
[63.97021484 80.69926453 69.90332031],6
[59.56027222 69.9556427  53.85748291],7
[59.19287109 66.29885864 52.25621033],8
[41.76654053 61.86225891 48.05561829],9
[125.94903564 127.42906189  81.52909851],10
[ 95.94908142 124.74775696  97.11468506],11
